CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V2_02,V2_03,V21_01,V22_01,V3,V4,V5_02,V5_03,V6,V7,V8,V9,V10,V11_01,V11_02,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,V5_01,V21_02,V21_03,V22_02,V22_03,V2_01
TQRMNORQYHJMKRCDEFOCD00875201,2024,4,1,1,41,N,8,290,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,2,4,0,0,0,2,2,2,2,2,1
TQRMNOPWTHLMKQCDEFOCD00852402,2024,4,1,1,41,N,8,409,1,,2,1,,4,2,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,1,2,2,0,2,0,6,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,0,6,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,0,98,0,0,0,1,2,2,2,2,0
TQSMNOUVVHKOLPCDEHPJB00875202,2024,4,1,1,40,S,29,381,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,0,0,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,0,3,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,2,98,0,0,0,1,2,2,2,2,0
TQRMNOPRTHKOLQCDEHPJB00868781,2024,4,1,1,40,S,29,399,1,,2,1,,4,1,1,1,,1,1,1,3,2,2,2,2,2,2,0,1,1,1,2,0,2,0,4,,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,985000,5,6,6,5,,7,492500,7,7,8,6,,9,610,2,0,1,0,0,0,2,2,2,1,2,2
TQRMNOQUSHKMLNCDEIIAD00868671,2024,4,1,1,1,S,32,517,2,,4,1,,9,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,1600000,8,,8,8,,6,800000,9,,8,9,,6,801,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOUURHLOLRCDEIIAD00875203,2024,4,1,1,1,S,32,1668,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,0,3,550000,3,,2,2,,2,"183333,33",2,,2,2,,1,3272,3,0,1,2,0,0,2,2,2,2,2,0
TQRMNORRUHLOLSCDEIIAD00854854,2024,4,1,1,1,S,32,2186,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,0,3,1420000,7,,7,7,,6,"473333,33",6,,6,6,,4,4495,2,0,98,0,0,0,2,2,2,2,2,2
TQRMNOQYYHJKLLCDEIIAD00875204,2024,4,1,1,1,S,32,532,2,,1,1,,9,1,1,1,,1,1,1,1,1,1,2,1,1,2,0,2,2,2,0,0,0,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,1350000,7,,7,7,,6,1350000,10,,10,10,,9,697,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSQPHMMLOCDEIIAD00868681,2024,4,1,1,1,S,32,1689,2,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,1,1,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,0,12,,12,12,,12,0,12,,12,12,,12,0,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSQSHMMLOCDEIIAD00812135,2024,4,1,1,1,S,32,1589,2,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,0,12,,12,12,,12,0,12,,12,12,,12,0,1,2,3,0,0,0,2,2,2,2,2,0
TQRMNOSXYHKLLPCDEIIAD00868682,2024,4,1,1,1,S,32,3794,2,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,4500000,10,,10,10,,10,1125000,10,,9,10,,8,7246,2,0,98,0,0,0,2,2,2,2,2,0
TQRMNORTSHMLLQCDEIIAD00868683,2024,4,1,1,1,S,32,1487,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,97,0,98,0,0,0,2,2,2,2,2,1
TQRMNOSUPHMNLTCDEIIAD00811972,2024,4,1,1,1,S,32,1676,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,2,0,1,0,0,0,2,2,2,2,2,1
TQRMNOSXRHLOMNCDEGJBF00852940,2024,4,1,1,43,S,13,622,1,,3,1,,2,1,1,1,,1,1,1,2,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,0,4,2690000,10,10,10,10,,10,672500,8,8,8,8,,8,756,1,0,98,0,0,0,2,2,2,2,2,0
